,Wm,W0m,dm,tm,rows,Xa,Ya,gain,vswr,bandwidth
30,2142.9,162.86,351.43,214.29,7.0,10776.0,2142.9,2.8736089,1.175374,122.64019999999933
31,2142.9,162.86,488.57,214.29,3.0,0.0,2142.9,2.7528041,1.3682635,111.72009999999987
32,2142.9,162.86,488.57,214.29,3.0,0.0,6964.3,1.436656,7.303622,
33,2142.9,162.86,488.57,214.29,3.0,0.0,11786.0,2.90577,1.7084244999999998,116.33989999999984
34,2142.9,162.86,77.143,214.29,3.0,5954.3,2142.9,2.9069562,1.2291569,122.6398000000004
35,2142.9,162.86,488.57,214.29,3.0,0.0,16607.0,2.5210895,2.5626779,75.38989999999978
36,2142.9,162.86,488.57,214.29,3.0,1132.8,2142.9,2.8607527000000004,1.170279,122.43010000000032
37,2142.9,162.86,488.57,214.29,3.0,1132.8,6964.3,2.8246121,1.3132666000000002,124.32009999999984
38,2142.9,162.86,488.57,214.29,3.0,1132.8,11786.0,2.9178851000000003,1.4377065,123.48009999999964
39,2142.9,162.86,488.57,214.29,3.0,1132.8,16607.0,2.7108803,2.0945559,96.5997999999999
40,2142.9,162.86,488.57,214.29,3.0,3543.5,2142.9,2.8639842,1.2234277,122.4299000000002
41,2142.9,162.86,488.57,214.29,3.0,3543.5,6964.3,2.8345403,1.2402018,124.53029999999998
42,2142.9,162.86,488.57,214.29,3.0,3543.5,11786.0,2.9200672,1.4435372,123.48010000000008
43,2142.9,162.86,488.57,214.29,3.0,3543.5,16607.0,2.85046,1.9137869,105.4198999999998
44,2142.9,162.86,488.57,214.29,3.0,5954.3,2142.9,2.8598799,1.2316359,122.4303
45,2142.9,162.86,77.143,214.29,3.0,5954.3,6964.3,2.8156757000000003,1.6342981,120.95999999999974
46,2142.9,162.86,488.57,214.29,3.0,5954.3,6964.3,2.8323583,1.2367473999999998,124.52980000000036
47,2142.9,162.86,488.57,214.29,3.0,5954.3,11786.0,2.9182318,1.4470708,123.480100000001
48,2142.9,162.86,488.57,214.29,3.0,5954.3,16607.0,2.9061252,1.7887143,111.9298999999998
49,2142.9,162.86,488.57,214.29,3.0,8365.0,2142.9,2.8560798,1.239834,122.43010000000076
50,2142.9,162.86,488.57,214.29,3.0,8365.0,6964.3,2.8311565,1.2293302,124.53010000000076
51,2142.9,162.86,488.57,214.29,3.0,8365.0,11786.0,2.9164103,1.4551579,123.48010000000052
52,2142.9,162.86,488.57,214.29,3.0,8365.0,16607.0,2.9493362000000003,1.7447137,114.24000000000012
53,2142.9,325.71,77.143,214.29,3.0,1132.8,11786.0,2.9770293,1.4376431,123.6904000000001
54,2142.9,325.71,77.143,214.29,3.0,1132.8,16607.0,2.2336051,2.1029171000000004,88.20010000000033
55,2142.9,325.71,77.143,214.29,3.0,3543.5,2142.9,2.9355337,1.2228249,122.64009999999992
56,2142.9,162.86,77.143,214.29,3.0,5954.3,11786.0,2.9578115,1.4436569,123.48010000000008
57,2142.9,325.71,77.143,214.29,3.0,3543.5,6964.3,2.8434048,1.6381369,120.7497000000002
58,2142.9,325.71,77.143,214.29,3.0,3543.5,11786.0,2.9786302000000004,1.4395398,123.48009999999964
59,2142.9,325.71,77.143,214.29,3.0,3543.5,16607.0,2.4835141,1.9312411,104.36990000000002
60,2142.9,325.71,77.143,214.29,3.0,5954.3,2142.9,2.9313592,1.2299069,122.42980000000036
61,2142.9,325.71,77.143,214.29,3.0,5954.3,6964.3,2.8423459,1.6347466,120.95999999999974
62,2142.9,325.71,77.143,214.29,3.0,5954.3,11786.0,2.9771967,1.4422771,123.48010000000008
63,2142.9,325.71,77.143,214.29,3.0,5954.3,16607.0,2.483113,1.8239012,108.98989999999964
64,2142.9,325.71,77.143,214.29,3.0,8365.0,2142.9,2.9211264,1.238097,122.43009999999988
65,2142.9,325.71,77.143,214.29,3.0,8365.0,6964.3,2.8339478,1.6246454,121.5898999999996
66,2142.9,325.71,77.143,214.29,3.0,8365.0,11786.0,2.9704083,1.4505651000000002,123.69019999999998
67,2142.9,162.86,77.143,214.29,3.0,5954.3,16607.0,2.4472806,1.8277677,109.20020000000008
68,2142.9,325.71,77.143,214.29,3.0,8365.0,16607.0,2.7414559,1.8143803,110.66989999999998
